review_date,ticker,action,thesis_conviction,action_score,conviction_bucket,prior_weight,new_weight,weight_change,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2026-01-15,META,hold,87.9,0.0,high,3.73,3.73,0.0,620.8,-2.69,7.76,
2026-01-15,AAPL,hold,95.3,0.0,high,6.78,6.78,0.0,257.97,-4.46,7.08,
2026-01-15,MSFT,hold,96.7,0.0,high,4.37,4.37,0.0,455.62,-0.47,-9.3,
2026-01-22,AMD,hold,95.5,0.0,high,9.65,9.65,0.0,253.73,-0.67,-15.82,
2026-01-22,META,hold,88.6,0.0,high,3.56,3.56,0.0,647.63,3.91,3.25,
2026-01-22,AAPL,hold,95.3,0.0,high,6.71,6.71,0.0,248.12,3.99,11.04,
2026-01-22,NVDA,hold,79.4,0.0,high,10.01,10.01,0.0,184.83,1.99,2.82,
2026-01-22,MSFT,hold,96.7,0.0,high,4.15,4.15,0.0,450.11,6.53,-10.37,
2026-01-29,NVDA,add,86.6,55.0,high,9.81,10.02,0.22,192.5,-6.32,-2.35,
2026-01-29,AAPL,add,95.3,40.0,high,6.4,7.85,1.44,258.04,4.34,2.45,
2026-01-29,AMD,hold,95.5,0.0,high,10.66,10.66,0.0,252.18,-3.99,-20.64,
2026-01-29,META,hold,93.5,0.0,high,3.69,3.69,0.0,738.31,-6.31,-12.88,
2026-01-29,MSFT,hold,96.7,0.0,high,4.06,4.06,0.0,432.51,-5.14,-7.82,
2026-02-05,AMD,exit,97.4,86.0,high,10.52,0.0,-10.52,192.5,10.95,9.54,
2026-02-05,MSFT,trim,96.7,75.0,high,3.88,1.65,-2.22,392.77,4.98,1.99,
2026-02-05,META,add,93.5,40.0,high,4.17,5.18,1.01,670.21,0.08,-2.46,
2026-02-05,AAPL,hold,96.6,0.0,high,7.85,7.85,0.0,275.65,-0.72,-0.52,
2026-02-05,NVDA,hold,86.6,0.0,high,10.02,10.02,0.0,171.87,9.69,13.78,
2026-02-12,MSFT,trim,96.7,75.0,high,1.65,1.0,-0.65,400.92,-1.24,-2.04,
2026-02-12,META,hold,93.5,0.0,high,5.18,5.18,0.0,649.81,-1.62,-0.25,
2026-02-12,AAPL,hold,96.6,0.0,high,8.65,8.65,0.0,261.73,0.82,0.94,
2026-02-12,NVDA,hold,86.6,0.0,high,9.23,9.23,0.0,186.93,-1.05,-5.22,
2026-02-19,MSFT,trim,96.7,75.0,high,1.0,0.99,-0.01,398.46,-2.37,,
2026-02-19,META,hold,93.5,0.0,high,5.01,5.01,0.0,644.78,-0.85,,
2026-02-19,AAPL,hold,96.6,0.0,high,8.19,8.19,0.0,260.58,4.44,,
2026-02-19,NVDA,hold,86.6,0.0,high,10.02,10.02,0.0,187.89,2.63,,
2026-02-26,MSFT,trim,96.7,75.0,high,0.99,0.99,0.0,401.72,-2.24,,
2026-02-26,AMD,initiate,98.4,98.4,high,0.0,7.06,7.06,203.68,-1.7,,
2026-02-26,META,hold,93.5,0.0,high,4.98,4.98,0.0,657.01,-1.34,,
2026-02-26,AAPL,hold,97.2,0.0,high,8.16,8.16,0.0,272.95,-3.21,,
2026-02-26,NVDA,hold,88.9,0.0,high,10.07,10.07,0.0,184.88,-4.16,,
